Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
64,Indian Girl,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5
65,Meadow Stream,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
66,Blue River,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,12
67,Nature's Edge,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,11
68,Morning Mist,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,10
69,Whispering Stream,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,11
70,Secluded Forest,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,12
71,Snow Trail,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,8
72,Arctic Beauty,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
73,Horizons West,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,7
74,High Chateau,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
75,Country Life,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10
76,Western Expanse,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
77,Marshlands,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,11
78,Blaze of Color,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,11
79,Winter Cabin,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,6
80,Secluded Lake,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,12
81,Evergreens at Sunset,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,7
82,Mountain Cabin,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,12
83,Portrait of Sally,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,8
84,Misty Waterfall,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,11
85,Barn at Sunset,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
86,Mountain Splendor,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
87,Lake by Mountain,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,11
88,Mountain Glory,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,11
89,Grey Winter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3
90,Dock Scene,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,9
91,Dark Waterfall,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,11
92,Misty Rolling Hills,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,10
93,Lakeside Cabin,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,12
94,Warm Winter Day,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
95,Waterside Way,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
96,Hunter's Haven,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
97,Bubbling Mountain Brook,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
98,Winter Hideaway,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
99,Foot of the Mountain,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
100,Majestic Pine,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
101,Cactus at Sunset,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,10
102,Mountain Range,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,10
103,Lonely Retreat,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
104,Northern Lights,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,9
105,Winter Evergreens,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,9
106,Surf's Up,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,11
107,Red Sunset,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,11
108,Meadow Road,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
109,Winter Oval,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,7
110,Secluded Beach,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,11
111,Forest Hills,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
112,Little House by the Road,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
